index,unit1_rgb,unit1_pwr_60ghz,unit1_loc,unit2_loc,unit2_speed,unit2_altitude,unit2_distance,unit2_height,unit2_x-speed,unit2_y-speed,unit2_z-speed,unit2_pitch,unit2_roll,seq_index,time_stamp[UTC],unit1_beam_index
1,./unit1/camera_data/image_BS1_1_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_1.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_1.txt,./unit2/speed/speed_1.txt,./unit2/altitude/altitude_1.txt,./unit2/distance/distance_1.txt,./unit2/height/height_1.txt,./unit2/x_speed/x_speed_1.txt,./unit2/y_speed/y_speed_1.txt,./unit2/z_speed/z_speed_1.txt,./unit2/pitch/pitch_1.txt,./unit2/roll/roll_1.txt,1,['16-58-42-0'],43
2,./unit1/camera_data/image_BS1_2_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_2.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_2.txt,./unit2/speed/speed_2.txt,./unit2/altitude/altitude_2.txt,./unit2/distance/distance_2.txt,./unit2/height/height_2.txt,./unit2/x_speed/x_speed_2.txt,./unit2/y_speed/y_speed_2.txt,./unit2/z_speed/z_speed_2.txt,./unit2/pitch/pitch_2.txt,./unit2/roll/roll_2.txt,1,['16-58-42-142'],43
3,./unit1/camera_data/image_BS1_3_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_3.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_3.txt,./unit2/speed/speed_3.txt,./unit2/altitude/altitude_3.txt,./unit2/distance/distance_3.txt,./unit2/height/height_3.txt,./unit2/x_speed/x_speed_3.txt,./unit2/y_speed/y_speed_3.txt,./unit2/z_speed/z_speed_3.txt,./unit2/pitch/pitch_3.txt,./unit2/roll/roll_3.txt,1,['16-58-42-284'],43
4,./unit1/camera_data/image_BS1_4_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_4.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_4.txt,./unit2/speed/speed_4.txt,./unit2/altitude/altitude_4.txt,./unit2/distance/distance_4.txt,./unit2/height/height_4.txt,./unit2/x_speed/x_speed_4.txt,./unit2/y_speed/y_speed_4.txt,./unit2/z_speed/z_speed_4.txt,./unit2/pitch/pitch_4.txt,./unit2/roll/roll_4.txt,1,['16-58-42-426'],43
5,./unit1/camera_data/image_BS1_5_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_5.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_5.txt,./unit2/speed/speed_5.txt,./unit2/altitude/altitude_5.txt,./unit2/distance/distance_5.txt,./unit2/height/height_5.txt,./unit2/x_speed/x_speed_5.txt,./unit2/y_speed/y_speed_5.txt,./unit2/z_speed/z_speed_5.txt,./unit2/pitch/pitch_5.txt,./unit2/roll/roll_5.txt,1,['16-58-42-568'],39
6,./unit1/camera_data/image_BS1_6_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_6.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_6.txt,./unit2/speed/speed_6.txt,./unit2/altitude/altitude_6.txt,./unit2/distance/distance_6.txt,./unit2/height/height_6.txt,./unit2/x_speed/x_speed_6.txt,./unit2/y_speed/y_speed_6.txt,./unit2/z_speed/z_speed_6.txt,./unit2/pitch/pitch_6.txt,./unit2/roll/roll_6.txt,1,['16-58-42-710'],39
7,./unit1/camera_data/image_BS1_7_16_58_42.jpg,./unit1/mmWave_data/mmWave_power_7.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_7.txt,./unit2/speed/speed_7.txt,./unit2/altitude/altitude_7.txt,./unit2/distance/distance_7.txt,./unit2/height/height_7.txt,./unit2/x_speed/x_speed_7.txt,./unit2/y_speed/y_speed_7.txt,./unit2/z_speed/z_speed_7.txt,./unit2/pitch/pitch_7.txt,./unit2/roll/roll_7.txt,1,['16-58-42-852'],39
8,./unit1/camera_data/image_BS1_8_16_58_43.jpg,./unit1/mmWave_data/mmWave_power_8.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_8.txt,./unit2/speed/speed_8.txt,./unit2/altitude/altitude_8.txt,./unit2/distance/distance_8.txt,./unit2/height/height_8.txt,./unit2/x_speed/x_speed_8.txt,./unit2/y_speed/y_speed_8.txt,./unit2/z_speed/z_speed_8.txt,./unit2/pitch/pitch_8.txt,./unit2/roll/roll_8.txt,1,['16-58-43-0'],39
9,./unit1/camera_data/image_BS1_9_16_58_43.jpg,./unit1/mmWave_data/mmWave_power_9.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_9.txt,./unit2/speed/speed_9.txt,./unit2/altitude/altitude_9.txt,./unit2/distance/distance_9.txt,./unit2/height/height_9.txt,./unit2/x_speed/x_speed_9.txt,./unit2/y_speed/y_speed_9.txt,./unit2/z_speed/z_speed_9.txt,./unit2/pitch/pitch_9.txt,./unit2/roll/roll_9.txt,1,['16-58-43-125'],39
10,./unit1/camera_data/image_BS1_10_16_58_43.jpg,./unit1/mmWave_data/mmWave_power_10.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_10.txt,./unit2/speed/speed_10.txt,./unit2/altitude/altitude_10.txt,./unit2/distance/distance_10.txt,./unit2/height/height_10.txt,./unit2/x_speed/x_speed_10.txt,./unit2/y_speed/y_speed_10.txt,./unit2/z_speed/z_speed_10.txt,./unit2/pitch/pitch_10.txt,./unit2/roll/roll_10.txt,1,['16-58-43-250'],39
