beam_index,num_samples,centroid_x,centroid_y
2,27,0.543216,0.705611
3,143,0.502512,0.703815
4,39,0.469456,0.668672
5,2,0.366489,0.592925
6,119,0.470931,0.632542
7,83,0.436673,0.614644
8,14,0.520728,0.602054
9,7,0.552746,0.609417
10,4,0.351272,0.548495
11,60,0.35016,0.628323
12,1,0.454956,0.761605
13,36,0.427619,0.6524
14,84,0.455907,0.655454
15,3,0.469001,0.732939
16,16,0.408674,0.646801
17,148,0.414789,0.648346
19,35,0.476297,0.624324
20,52,0.435157,0.654412
21,118,0.517384,0.69043
22,171,0.47516,0.660986
23,198,0.443334,0.689395
24,1,0.399118,0.728359
25,4,0.518422,0.685727
26,257,0.46453,0.679797
27,280,0.478917,0.675617
28,103,0.491077,0.7182
29,836,0.491607,0.684602
30,64,0.487166,0.684959
31,192,0.503399,0.666124
32,835,0.512449,0.651254
33,482,0.518423,0.668392
34,935,0.48559,0.654032
36,28,0.485093,0.671704
37,207,0.502834,0.675543
38,61,0.577104,0.685169
39,284,0.585894,0.682152
40,26,0.592237,0.669853
42,83,0.537819,0.666302
43,46,0.531187,0.677022
44,46,0.476523,0.562012
45,16,0.584858,0.630924
46,15,0.614973,0.645249
47,23,0.509272,0.527426
48,41,0.475371,0.616503
49,56,0.462344,0.611869
51,22,0.495196,0.622307
52,21,0.510825,0.666147
53,1,0.474496,0.444882
54,9,0.609534,0.664143
55,26,0.567121,0.588437
57,2,0.242663,0.537083
58,5,0.501903,0.591053
59,19,0.523118,0.603545
