epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.803,2.62797,5.16491,0.00465,0.64887,0.73724,0.74771,0.38868,2.22477,1.17901,0.00494,0.00990476,0.00330159,0.00990476,0.00330159,0.00990476,0.00330159,0.00990476,0.00330159
2,183.88,2.22398,0.94212,0.00378,0.68338,0.70377,0.75282,0.29493,2.63245,1.33317,0.00592,0.0198999,0.0066333,0.0198999,0.0066333,0.0198999,0.0066333,0.0198999,0.0066333
3,255.594,2.20985,0.914,0.00377,0,0,0,0,4.21928,7.55738,0.01487,0.0298756,0.00995852,0.0298756,0.00995852,0.0298756,0.00995852,0.0298756,0.00995852
4,327.011,2.13858,0.84992,0.00366,0.61448,0.70026,0.66259,0.3366,2.35066,1.18003,0.00554,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,396.035,2.03603,0.76426,0.00348,0.65539,0.25941,0.22931,0.08611,4.39406,4.38151,0.01595,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,464.493,1.9987,0.70352,0.00335,0.57979,0.69623,0.63264,0.32851,2.40672,1.30435,0.00597,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,532.932,1.95467,0.6757,0.00329,0.70143,0.45105,0.54526,0.26503,2.90399,1.98655,0.00796,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,602.883,1.94073,0.62483,0.00326,0.87973,0.89958,0.93888,0.49332,2.27943,0.66113,0.00566,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,672.404,1.89153,0.61041,0.00318,0.88248,0.87976,0.92867,0.53998,2.03965,0.6506,0.00482,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,742.133,1.87832,0.60165,0.00313,0.89599,0.89388,0.92296,0.34414,2.99516,0.80046,0.00811,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,811.556,1.89729,0.5859,0.00316,0.90361,0.84723,0.91475,0.38856,2.78141,0.88294,0.00744,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,881.049,1.87805,0.55543,0.00309,0.9263,0.90451,0.94227,0.41528,2.71762,0.70041,0.00721,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,949.117,1.85536,0.5673,0.00307,0.82096,0.80579,0.86188,0.24426,3.48318,1.03401,0.01018,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1017.08,1.83873,0.54928,0.00305,0.74047,0.66276,0.70813,0.16948,3.66717,1.2111,0.01096,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1088.61,1.8155,0.55446,0.003,0.54003,0.58577,0.57966,0.12812,3.76309,1.29633,0.01119,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1161.62,1.80476,0.54781,0.00296,0.8382,0.80921,0.84298,0.22195,3.37056,1.15584,0.00964,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,1232.69,1.79481,0.55683,0.00295,0.88006,0.87187,0.91107,0.30279,3.16326,0.87296,0.00896,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,1302.67,1.79101,0.55565,0.00294,0.85665,0.84012,0.88634,0.24771,3.48875,0.93251,0.01003,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,1372.59,1.76818,0.52466,0.00294,0.86855,0.85148,0.89206,0.25452,3.45584,0.93318,0.01008,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,1443.09,1.76405,0.52453,0.0029,0.85754,0.83515,0.85934,0.26633,3.32488,0.9557,0.00947,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,1513.53,1.76346,0.54318,0.00288,0.76543,0.74728,0.76904,0.1645,3.81801,1.07174,0.01172,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,1585.8,1.74268,0.52321,0.00283,0.77394,0.76067,0.80971,0.16878,3.6755,1.09709,0.01105,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,1656.41,1.74052,0.53073,0.00283,0.89299,0.86109,0.91968,0.28754,3.293,0.86728,0.00916,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,1726.83,1.74212,0.51084,0.00283,0.86693,0.84017,0.89482,0.26089,3.37877,0.93742,0.00952,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,1797.46,1.70866,0.53231,0.00278,0.74259,0.7523,0.7594,0.17414,3.68705,1.24661,0.01131,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,1867.58,1.71208,0.5124,0.0028,0.81047,0.79582,0.82363,0.20554,3.57802,0.96906,0.01077,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,1937.45,1.69708,0.50965,0.00276,0.90583,0.87113,0.90782,0.29263,3.25866,0.85013,0.00919,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,2009.5,1.68138,0.51323,0.00274,0.86901,0.84435,0.86587,0.21844,3.56457,0.97116,0.01055,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,2077.68,1.69399,0.511,0.00275,0.88042,0.84686,0.9026,0.27817,3.33581,0.83886,0.00945,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,2148.28,1.67791,0.48074,0.00271,0.8799,0.86192,0.89565,0.25041,3.36822,0.91469,0.00968,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,2217.87,1.68541,0.48192,0.00271,0.87418,0.85356,0.87814,0.22957,3.5413,0.91991,0.01038,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,2287.81,1.68041,0.4698,0.0027,0.90495,0.88787,0.91939,0.2965,3.28414,0.74919,0.00934,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,2357.98,1.64661,0.47783,0.00265,0.89681,0.87268,0.91384,0.31113,3.12788,0.87254,0.00869,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,2427.96,1.64942,0.48601,0.00266,0.91211,0.86276,0.92403,0.32718,3.05633,0.81593,0.00842,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,2499.01,1.64668,0.47508,0.00264,0.91236,0.87197,0.93231,0.33016,3.06659,0.80555,0.00845,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,2568.33,1.64504,0.46234,0.00264,0.82177,0.77238,0.82334,0.1902,3.56929,1.08294,0.01056,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,2638.56,1.64057,0.45959,0.00265,0.87871,0.86946,0.89453,0.31744,3.04271,0.84146,0.00807,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,2710.47,1.60463,0.48423,0.00258,0.88579,0.86322,0.90584,0.31055,3.13061,0.83838,0.00866,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,2778.88,1.59659,0.46915,0.00255,0.91118,0.87562,0.93226,0.34259,2.96213,0.81303,0.00805,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,2850.7,1.59482,0.45629,0.00254,0.92997,0.91046,0.93748,0.34694,3.05387,0.7561,0.00833,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,2920.62,1.59704,0.44656,0.00255,0.88231,0.82176,0.84972,0.39979,2.57986,0.82331,0.00625,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,2988.95,1.57125,0.46236,0.00253,0.88734,0.87004,0.91744,0.2943,3.20389,0.89278,0.00909,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,3057.57,1.57081,0.46272,0.00251,0.84549,0.87364,0.88544,0.25412,3.38729,0.92348,0.00971,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,3127.7,1.57715,0.45078,0.00251,0.88233,0.81757,0.88859,0.32831,2.94928,0.86761,0.00778,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,3198.18,1.56215,0.43251,0.00248,0.89808,0.88033,0.91507,0.30408,3.14965,0.80678,0.00889,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,3268.01,1.53303,0.43988,0.00241,0.92543,0.87237,0.93237,0.3133,3.16215,0.85584,0.00861,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
