epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,299.718,1.88512,6.9658,0.00659,0.63845,0.62881,0.67468,0.31573,1.76249,1.47309,0.00559,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,386.703,1.75791,1.53605,0.00583,0.62604,0.60246,0.66839,0.34388,1.83587,1.34055,0.00568,0.019975,0.00665835,0.019975,0.00665835,0.019975,0.00665835,0.019975,0.00665835
3,460.191,1.82049,1.34169,0.00611,0.68404,0.76639,0.77192,0.40008,1.77267,1.0904,0.00562,0.0299506,0.00998355,0.0299506,0.00998355,0.0299506,0.00998355,0.0299506,0.00998355
4,529.28,1.82779,1.32139,0.00611,0.70492,0.73126,0.79246,0.35625,1.77053,1.16214,0.00573,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,598.74,1.75551,1.1985,0.0059,0.75983,0.75573,0.83518,0.41106,1.79067,0.98323,0.00571,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,668.365,1.71839,1.0759,0.00561,0.79989,0.79684,0.86669,0.49807,1.56091,0.88537,0.00469,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,737.557,1.73125,1.01513,0.00564,0.7378,0.64579,0.78244,0.45468,1.59658,0.99726,0.00496,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,807.123,1.71155,0.95857,0.00563,0.83997,0.8185,0.8927,0.49553,1.56581,0.83111,0.00479,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,877.449,1.65492,0.94256,0.00546,0.83507,0.82494,0.89275,0.49605,1.64795,0.77979,0.00496,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,945.738,1.64368,0.85809,0.00533,0.80155,0.83899,0.8982,0.51832,1.57448,0.79369,0.00468,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
