epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,294.362,1.98867,2.49455,0.00691,0.60684,0.73126,0.72967,0.39108,1.73798,1.15483,0.00535,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,386.492,1.84766,1.22932,0.00618,0.66105,0.81265,0.80016,0.40477,1.79118,1.08587,0.00571,0.019975,0.00665835,0.019975,0.00665835,0.019975,0.00665835,0.019975,0.00665835
3,464.153,1.8353,1.25624,0.00616,0.79417,0.76112,0.82875,0.40085,1.79395,1.05593,0.00585,0.0299506,0.00998355,0.0299506,0.00998355,0.0299506,0.00998355,0.0299506,0.00998355
4,536.861,1.8236,1.25539,0.00602,0.65775,0.74356,0.7635,0.40927,1.68699,1.0628,0.00525,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,610.508,1.77837,1.15741,0.00602,0.71599,0.71586,0.79044,0.41556,1.7129,1.12641,0.00511,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,683.446,1.7591,1.06973,0.00574,0.85987,0.79391,0.89317,0.47239,1.64977,0.91382,0.00489,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,755.957,1.72547,1.06222,0.0056,0.80492,0.81674,0.88025,0.51489,1.52831,0.81023,0.0045,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,828.57,1.71221,0.97603,0.00564,0.82103,0.77621,0.87894,0.48253,1.61542,0.80273,0.00495,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,902.354,1.69148,0.91107,0.00561,0.8638,0.88407,0.93195,0.55552,1.49398,0.67334,0.00446,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,976.058,1.65956,0.85248,0.00539,0.84934,0.87133,0.92421,0.54654,1.48724,0.7062,0.0045,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
